C.no	ဗျည်း	အက္ခရာCode	အမျိုးအစား	မိတ်ဘက်ဗျည်း	နံပါတ်စဉ်-သုဒ္ဓ/ကာရိုက်-ဗျည်းCode-ဗျည်းတွဲCode-သရCode-အက္ခရာ	သုဒ္ခကာရိုက်=ဗျည်း+သရ=အသံtoken=NNLDcode
C1	က	101	ရှေးရိုးဗျည်း	102	၀၁-ဖို-101-0-201-က	ဖိုဗျည်း=က+အ=က=101-000-201
C2	ခ	102	ရှေးရိုးဗျည်း	101	၀၂-မ-102-0-201-ခ	မဗျည်း=ခ+အ=ခ=102-000-201
C3	ဂ	103	ရှေးရိုးဗျည်း	103	၀၃-ဖို-103-0-201-ဂ	ဖိုဗျည်း=ဂ+အ=ဂ=103-000-201
C4	ဃ	104	ရှေးရိုးဗျည်း	102	၀၄-မ-104-0-201-ဃ	မဗျည်း=ဃ+အ=ဃ=104-000-201
C5	င	105	ရှေးရိုးဗျည်း	106	၀၅-ဖို-105-0-201-င	ဖိုဗျည်း=င+အ=င=105-000-201
C6	ငှ	106	ရှေးရိုးဗျည်း	104	၀၆-မ-106-0-201-ငှ	မဗျည်း=ငှ+အ=ငှ=106-000-201
C7	စ	107	ရှေးရိုးဗျည်း	106	၀၇-ဖို-107-0-201-စ	ဖိုဗျည်း=စ+အ=စ=107-000-201
C8	ဆ	108	ရှေးရိုးဗျည်း	106	၀၈-မ-108-0-201-ဆ	မဗျည်း=ဆ+အ=ဆ=108-000-201
C9	ဇ	109	ရှေးရိုးဗျည်း	106	၀၉-ဖို-109-0-201-ဇ	ဖိုဗျည်း=ဇ+အ=ဇ=109-000-201
C10	ဈ	110	ရှေးရိုးဗျည်း	106	၁၀-မ-110-0-201-ဈ	မဗျည်း=ဈ+အ=ဈ=110-000-201
C11	ည	111	ရှေးရိုးဗျည်း	106	၁၁-ဖို-111-0-201-ည	ဖိုဗျည်း=ည+အ=ည=111-000-201
C12	ညှ	112	ရှေးရိုးဗျည်း	106	၁၂-မ-112-0-201-ညှ	မဗျည်း=ညှ+အ=ညှ=112-000-201
C13	ဋ	113	ရှေးရိုးဗျည်း	106	၁၃-ဖို-113-0-201-ဋ	ဖိုဗျည်း=ဋ+အ=ဋ=113-000-201
C14	ဌ	114	ရှေးရိုးဗျည်း	106	၁၄-မ-114-0-201-ဌ	မဗျည်း=ဌ+အ=ဌ=114-000-201
C15	ဍ	115	ရှေးရိုးဗျည်း	106	၁၅-ဖို-115-0-201-ဍ	ဖိုဗျည်း=ဍ+အ=ဍ=115-000-201
C16	ဎ	116	ရှေးရိုးဗျည်း	106	၁၆-မ-116-0-201-ဎ	မဗျည်း=ဎ+အ=ဎ=116-000-201
C17	ဏ	117	ရှေးရိုးဗျည်း	106	၁၇-ဖို-117-0-201-ဏ	ဖိုဗျည်း=ဏ+အ=ဏ=117-000-201
C18	ဏှ	118	ရှေးရိုးဗျည်း	106	၁၈-မ-118-0-201-ဏှ	မဗျည်း=ဏှ+အ=ဏှ=118-000-201
C19	တ	119	ရှေးရိုးဗျည်း	106	၁၉-ဖို-119-0-201-တ	ဖိုဗျည်း=တ+အ=တ=119-000-201
C20	ထ	120	ရှေးရိုးဗျည်း	106	၂၀-မ-120-0-201-ထ	မဗျည်း=ထ+အ=ထ=120-000-201
C21	ဒ	121	ရှေးရိုးဗျည်း	106	၂၁-ဖို-121-0-201-ဒ	ဖိုဗျည်း=ဒ+အ=ဒ=121-000-201
C22	ဓ	122	ရှေးရိုးဗျည်း	106	၂၂-မ-122-0-201-ဓ	မဗျည်း=ဓ+အ=ဓ=122-000-201
C23	န	123	ရှေးရိုးဗျည်း	106	၂၃-ဖို-123-0-201-န	ဖိုဗျည်း=န+အ=န=123-000-201
C24	နှ	124	ရှေးရိုးဗျည်း	106	၂၄-မ-124-0-201-နှ	မဗျည်း=နှ+အ=နှ=124-000-201
C25	ပ	125	ရှေးရိုးဗျည်း	125	၂၅-ဖို-125-0-201-ပ	ဖိုဗျည်း=ပ+အ=ပ=125-000-201
C26	ဖ	126	ရှေးရိုးဗျည်း	106	၂၆-မ-126-0-201-ဖ	မဗျည်း=ဖ+အ=ဖ=126-000-201
C27	ဗ	127	ရှေးရိုးဗျည်း	127	၂၇-ဖို-127-0-201-ဗ	ဖိုဗျည်း=ဗ+အ=ဗ=127-000-201
C28	ဘ	128	ရှေးရိုးဗျည်း	126	၂၈-မ-128-0-201-ဘ	မဗျည်း=ဘ+အ=ဘ=128-000-201
C29	မ	129	ရှေးရိုးဗျည်း	130	၂၉-ဖို-129-0-201-မ	ဖိုဗျည်း=မ+အ=မ=129-000-201
C30	မှ	130	ရှေးရိုးဗျည်း	128	၃၀-မ-130-0-201-မှ	မဗျည်း=မှ+အ=မှ=130-000-201
C31	ယ	131	ရှေးရိုးဗျည်း	130	၃၁-ဖို-131-0-201-ယ	ဖိုဗျည်း=ယ+အ=ယ=131-000-201
C32	ယှ	132	ရှေးရိုးဗျည်း	130	၃၂-မ-132-0-201-ယှ	မဗျည်း=ယှ+အ=ယှ=132-000-201
C33	ရ	133	ရှေးရိုးဗျည်း	130	၃၃-ဖို-133-0-201-ရ	ဖိုဗျည်း=ရ+အ=ရ=133-000-201
C34	ရှ	134	ရှေးရိုးဗျည်း	130	၃၄-မ-134-0-201-ရှ	မဗျည်း=ရှ+အ=ရှ=134-000-201
C35	လ	135	ရှေးရိုးဗျည်း	130	၃၅-ဖို-135-0-201-လ	ဖိုဗျည်း=လ+အ=လ=135-000-201
C36	လှ	136	ရှေးရိုးဗျည်း	130	၃၆-မ-136-0-201-လှ	မဗျည်း=လှ+အ=လှ=136-000-201
C37	ဝ	137	ရှေးရိုးဗျည်း	130	၃၇-ဖို-137-0-201-ဝ	ဖိုဗျည်း=ဝ+အ=ဝ=137-000-201
C38	ဝှ	138	ရှေးရိုးဗျည်း	130	၃၈-မ-138-0-201-ဝှ	မဗျည်း=ဝှ+အ=ဝှ=138-000-201
C39	သ	139	ရှေးရိုးဗျည်း	130	၃၉-ဖို-139-0-201-သ	ဖိုဗျည်း=သ+အ=သ=139-000-201
C40	သှ	140	ရှေးရိုးဗျည်း	130	၄၀-မ-140-0-201-သှ	မဗျည်း=သှ+အ=သှ=140-000-201
C41	ဟ	141	ရှေးရိုးဗျည်း	130	၄၁-ဖို-141-0-201-ဟ	ဖိုဗျည်း=ဟ+အ=ဟ=141-000-201
C42	ဟှ	142	ရှေးရိုးဗျည်း	130	၄၂-မ-142-0-201-ဟှ	မဗျည်း=ဟှ+အ=ဟှ=142-000-201
C43	ဠ	143	ရှေးရိုးဗျည်း	130	၄၃-ဖို-143-0-201-ဠ	ဖိုဗျည်း=ဠ+အ=ဠ=143-000-201
C44	ဠှ	144	ရှေးရိုးဗျည်း	130	၄၄-မ-144-0-201-ဠှ	မဗျည်း=ဠှ+အ=ဠှ=144-000-201
C45	အ	145	ရှေးရိုးဗျည်း	128	၄၅-ဖို/မမဟုတ်၊အထူးဗျည်း-145-0-201-အ	ဖိုဗျည်း=အ+အ=အ=145-000-201
C46	ကျ	147	NNLDSဗျည်း	148	၄၆-ဖို-147-0-201-ကျ/ကြ	ဖိုဗျည်း=ကျ+အ=ကျ=147-000-201
C47	ချ	148	NNLDSဗျည်း	101	၄၇-မ-148-0-201-ချ/ခြ	မဗျည်း=ချ+အ=ချ=148-000-201
C48	ဂျ	149	NNLDSဗျည်း	103	၄၈-ဖို-149-0-201-ဂျ	ဖိုဗျည်း=ဂျ+အ=ဂျ=149-000-201
C49	ဃျ	150	NNLDSဗျည်း	102	၄၉-မ-150-0-201-ဃျ	မဗျည်း=ဃျ+အ=ဃျ=150-000-201
C50	ငျ	151	NNLDSဗျည်း	104	၅၀-ဖို-151-0-201-ငြ	ဖိုဗျည်း=ငျ+အ=ငျ=151-000-201
C51	ငျှ	152	NNLDSဗျည်း	104	၅၁-မ-152-0-201-ငြှ	မဗျည်း=ငျှ+အ=ငျှ=152-000-201
C52	ပျ	153	NNLDSဗျည်း	125	၅၂-ဖို-153-0-201-ပျ/ပြ	ဖိုဗျည်း=ပျ+အ=ပျ=153-000-201
C53	ဖျ	154	NNLDSဗျည်း	106	၅၃-မ-154-0-201-ဖြ/ဖျ	မဗျည်း=ဖျ+အ=ဖျ=154-000-201
C54	ဗျ	155	NNLDSဗျည်း	127	၅၄-ဖို-155-0-201-ဗျ/ဗြ	ဖိုဗျည်း=ဗျ+အ=ဗျ=155-000-201
C55	ဘျ	156	NNLDSဗျည်း	126	၅၅-မ-156-0-201-ဘျ/ဘြ	မဗျည်း=ဘျ+အ=ဘျ=156-000-201
C56	မျ	157	NNLDSဗျည်း	128	၅၆-ဖို-157-0-201-မျ/မြ	ဖိုဗျည်း=မျ+အ=မျ=157-000-201
C57	မျှ	158	NNLDSဗျည်း	128	၅၇-မ-158-0-201-မျှ/မြှ	မဗျည်း=မျှ+အ=မျှ=158-000-201
C58	ကြ	147	NNLDSဗျည်း	102	၄၆-ဖို-147-0-201-ကျ/ကြ	ဖိုဗျည်း=ကြ+အ=ကြ=147-000-201
C59	ခြ	148	NNLDSဗျည်း	101	၄၇-မ-148-0-201-ချ/ခြ	မဗျည်း=ခြ+အ=ခြ=148-000-201
C60	ဂြ	149	NNLDSဗျည်း	104	၄၈-ဖို-149-0-201-ဂျ	ဖိုဗျည်း=ဂြ+အ=ဂြ=149-000-201
C61	ဃြ	150	NNLDSဗျည်း	103	၄၉-မ-150-0-201-ဃျ	မဗျည်း=ဃြ+အ=ဃြ=150-000-201
C62	ငြ	151	NNLDSဗျည်း	106	၅၀-ဖို-151-0-201-ငြ	ဖိုဗျည်း=ငြ+အ=ငြ=151-000-201
C63	ငြှ	152	NNLDSဗျည်း	105	၅၁-မ-152-0-201-ငြှ	မဗျည်း=ငြှ+အ=ငြှ=152-000-201
C64	ပြ	153	NNLDSဗျည်း	126	၅၂-ဖို-153-0-201-ပျ/ပြ	ဖိုဗျည်း=ပြ+အ=ပြ=153-000-201
C65	ဖြ	154	NNLDSဗျည်း	125	၅၃-မ-154-0-201-ဖြ/ဖျ	မဗျည်း=ဖြ+အ=ဖြ=154-000-201
C66	ဗြ	155	NNLDSဗျည်း	128	၅၄-ဖို-155-0-201-ဗျ/ဗြ	ဖိုဗျည်း=ဗြ+အ=ဗြ=155-000-201
C67	ဘြ	156	NNLDSဗျည်း	127	၅၅-မ-156-0-201-ဘျ/ဘြ	မဗျည်း=ဘြ+အ=ဘြ=156-000-201
C68	မြ	157	NNLDSဗျည်း	130	၅၆-ဖို-157-0-201-မျ/မြ	ဖိုဗျည်း=မြ+အ=မြ=157-000-201
C69	မြှ	158	NNLDSဗျည်း	129	၅၇-မ-158-0-201-မျှ/မြှ	မဗျည်း=မြှ+အ=မြှ=158-000-201
C70	ကျ	101	ဗျည်းတွဲ	148	၅၈-ဖို-101-0-201-ကျ	ဖိုဗျည်း=ကျ+အ=ကျ=101-003-201
C71	ချ	102	ဗျည်းတွဲ	101	၅၉-မ-102-0-201-ချ	မဗျည်း=ချ+အ=ချ=102-003-201
C72	ဂျ	103	ဗျည်းတွဲ	103	၆၀-ဖို-103-0-201-ဂျ	ဖိုဗျည်း=ဂျ+အ=ဂျ=103-003-201
C73	ဃျ	104	ဗျည်းတွဲ	102	၆၁-မ-104-0-201-ဃျ	မဗျည်း=ဃျ+အ=ဃျ=104-003-201
C74	ငျ	105	ဗျည်းတွဲ	104	၆၂-ဖို-105-0-201-ငျ	ဖိုဗျည်း=ငျ+အ=ငျ=105-003-201
C75	ငျှ	106	ဗျည်းတွဲ	104	၆၃-မ-106-0-201-ငျှ	မဗျည်း=ငျှ+အ=ငျှ=106-013-201
C76	ပျ	125	ဗျည်းတွဲ	125	၆၄-ဖို-125-0-201-ပျ	ဖိုဗျည်း=ပျ+အ=ပျ=125-003-201
C77	ဖျ	126	ဗျည်းတွဲ	106	၆၅-မ-126-0-201-ဖျ	မဗျည်း=ဖျ+အ=ဖျ=126-003-201
C78	ဗျ	127	ဗျည်းတွဲ	127	၆၆-ဖို-127-0-201-ဗျ	ဖိုဗျည်း=ဗျ+အ=ဗျ=127-003-201
